Year,State,Food-at-home per capita sales (nominal U.S. dollars),Food-away-from-home per capita sales (nominal U.S. dollars),Total food per capita sales (nominal U.S. dollars),Food-at-home per capita sales (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales (constant U.S. dollars (1988=100)),Total food per capita sales (constant U.S. dollars (1988=100))
2020,Maine,"3,284.49","2,630.09","5,914.58","1,506.48","1,113.75","2,620.23"
2021,Maine,"3,555.66","3,219.96","6,775.62","1,593.44","1,301.55","2,894.99"
2022,Maine,"3,819.66","3,703.54","7,523.20","1,554.41","1,400.56","2,954.97"
2023,Maine,"3,774.00","3,834.34","7,608.34","1,465.74","1,356.85","2,822.59"
2024,Maine,"3,745.99","3,931.06","7,677.05","1,441.85","1,332.95","2,774.80"
2018,Maryland,"2,179.60","2,875.64","5,055.24","1,058.44","1,277.72","2,336.16"
2019,Maryland,"2,205.50","2,985.34","5,190.84","1,063.70","1,286.90","2,350.60"
2020,Maryland,"2,291.55","2,460.85","4,752.40","1,067.64","1,032.61","2,100.25"
2021,Maryland,"2,488.01","3,001.00","5,489.01","1,120.67","1,212.39","2,333.06"
2022,Maryland,"2,762.63","3,447.49","6,210.12","1,117.24","1,292.34","2,409.58"
2023,Maryland,"2,790.08","3,645.18","6,435.26","1,071.10","1,275.70","2,346.80"
2024,Maryland,"2,811.70","3,718.10","6,529.80","1,066.14","1,252.55","2,318.69"
2018,Massachusetts,"2,440.74","3,515.52","5,956.26","1,167.12","1,586.77","2,753.89"
2019,Massachusetts,"2,522.64","3,659.53","6,182.17","1,196.69","1,605.72","2,802.41"
2020,Massachusetts,"2,566.39","2,821.16","5,387.55","1,177.11","1,194.66","2,371.77"
2021,Massachusetts,"2,648.16","3,587.06","6,235.22","1,186.75","1,449.93","2,636.68"
2022,Massachusetts,"2,834.37","4,285.39","7,119.76","1,153.45","1,620.60","2,774.05"
2023,Massachusetts,"2,873.50","4,778.65","7,652.15","1,116.01","1,691.01","2,807.02"
2024,Massachusetts,"2,909.80","5,054.45","7,964.25","1,119.99","1,713.87","2,833.86"
2018,Michigan,"2,152.40","2,343.47","4,495.87","1,095.02","1,015.51","2,110.53"
2019,Michigan,"2,199.25","2,426.08","4,625.33","1,113.37","1,023.95","2,137.32"
2020,Michigan,"2,251.35","2,055.32","4,306.67","1,107.77",845.92,"1,953.69"
2021,Michigan,"2,428.74","2,511.82","4,940.56","1,155.43",983.77,"2,139.20"
2022,Michigan,"2,774.94","2,904.58","5,679.52","1,169.74","1,046.22","2,215.96"
2023,Michigan,"2,853.52","3,183.60","6,037.12","1,143.22","1,073.59","2,216.81"
2024,Michigan,"2,936.48","3,347.23","6,283.71","1,163.48","1,090.89","2,254.37"
2018,Minnesota,"2,338.58","2,580.52","4,919.10","1,189.74","1,118.23","2,307.97"
2019,Minnesota,"2,360.80","2,657.73","5,018.53","1,195.16","1,121.72","2,316.88"
2020,Minnesota,"2,425.18","2,226.75","4,651.93","1,193.30",916.48,"2,109.78"
2021,Minnesota,"2,576.61","2,840.66","5,417.27","1,225.77","1,112.55","2,338.32"
2022,Minnesota,"2,728.15","3,239.89","5,968.04","1,150.01","1,167.00","2,317.01"
2023,Minnesota,"2,734.60","3,480.59","6,215.19","1,095.58","1,173.74","2,269.32"
2024,Minnesota,"2,761.27","3,631.69","6,392.96","1,094.06","1,183.60","2,277.66"
2018,Mississippi,"2,427.85","2,444.94","4,872.79","1,179.00","1,086.35","2,265.35"
2019,Mississippi,"2,470.16","2,546.76","5,016.92","1,191.34","1,097.84","2,289.18"
2020,Mississippi,"2,600.20","2,402.66","5,002.86","1,211.43","1,008.19","2,219.62"
2021,Mississippi,"2,768.83","2,929.46","5,698.29","1,247.16","1,183.48","2,430.64"
2022,Mississippi,"3,080.74","3,224.52","6,305.26","1,245.89","1,208.75","2,454.64"
2023,Mississippi,"3,069.93","3,397.06","6,466.99","1,178.54","1,188.86","2,367.40"
2024,Mississippi,"3,072.25","3,465.18","6,537.43","1,164.94","1,167.34","2,332.28"
2018,Missouri,"2,559.33","2,670.78","5,230.11","1,302.05","1,157.35","2,459.40"
2019,Missouri,"2,548.40","2,756.40","5,304.80","1,290.13","1,163.37","2,453.50"
2020,Missouri,"2,611.09","2,465.53","5,076.62","1,284.78","1,014.75","2,299.53"
2021,Missouri,"2,754.82","2,932.52","5,687.34","1,310.56","1,148.53","2,459.09"
2022,Missouri,"2,946.79","3,354.33","6,301.12","1,242.18","1,208.22","2,450.40"
2023,Missouri,"2,974.80","3,587.22","6,562.02","1,191.81","1,209.70","2,401.51"
2024,Missouri,"3,010.65","3,671.37","6,682.02","1,192.86","1,196.53","2,389.39"
2018,Montana,"2,785.24","2,584.97","5,370.21","1,314.77","1,123.00","2,437.77"
2019,Montana,"2,864.70","2,686.92","5,551.62","1,331.98","1,127.22","2,459.20"
2020,Montana,"3,008.46","2,521.25","5,529.71","1,345.18","1,011.38","2,356.56"
2021,Montana,"3,193.78","3,188.36","6,382.14","1,368.36","1,219.53","2,587.89"
2022,Montana,"3,575.92","3,496.01","7,071.93","1,375.25","1,246.40","2,621.65"
2023,Montana,"3,654.05","3,677.28","7,331.33","1,343.14","1,220.12","2,563.26"
2024,Montana,"3,752.23","3,765.59","7,517.82","1,360.19","1,194.21","2,554.40"
2018,Nebraska,"2,562.67","2,486.57","5,049.24","1,303.75","1,077.52","2,381.27"
2019,Nebraska,"2,586.43","2,583.91","5,170.34","1,309.38","1,090.57","2,399.95"
2020,Nebraska,"2,679.13","2,408.84","5,087.97","1,318.26",991.42,"2,309.68"
2021,Nebraska,"2,886.25","3,036.54","5,922.79","1,373.08","1,189.27","2,562.35"
2022,Nebraska,"3,187.48","3,345.97","6,533.45","1,343.64","1,205.21","2,548.85"
2023,Nebraska,"3,205.16","3,525.26","6,730.42","1,284.10","1,188.80","2,472.90"
2024,Nebraska,"3,230.09","3,604.92","6,835.01","1,279.81","1,174.87","2,454.68"
2018,Nevada,"2,492.96","4,613.02","7,105.98","1,176.80","2,004.06","3,180.86"
2019,Nevada,"2,571.37","4,731.66","7,303.03","1,195.59","1,985.02","3,180.61"
2020,Nevada,"2,818.89","3,798.82","6,617.71","1,260.41","1,523.87","2,784.28"
2021,Nevada,"2,971.29","5,054.81","8,026.10","1,273.04","1,933.44","3,206.48"
2022,Nevada,"3,348.55","5,985.83","9,334.38","1,287.81","2,134.08","3,421.89"
2023,Nevada,"3,462.01","6,699.31","10,161.32","1,272.55","2,222.83","3,495.38"
2024,Nevada,"3,567.36","7,007.21","10,574.57","1,293.18","2,222.25","3,515.43"
2018,New Hampshire,"3,517.39","3,244.55","6,761.94","1,681.94","1,464.46","3,146.40"
2019,New Hampshire,"3,619.56","3,385.96","7,005.52","1,717.05","1,485.69","3,202.74"
2020,New Hampshire,"3,829.23","2,941.38","6,770.61","1,756.33","1,245.57","3,001.90"
2021,New Hampshire,"3,936.22","3,658.95","7,595.17","1,763.98","1,478.99","3,242.97"
2022,New Hampshire,"3,940.50","4,101.90","8,042.40","1,603.59","1,551.21","3,154.80"
2023,New Hampshire,"3,699.17","4,304.21","8,003.38","1,436.68","1,523.12","2,959.80"
2024,New Hampshire,"3,453.39","4,396.20","7,849.59","1,329.22","1,490.67","2,819.89"
2018,New Jersey,"2,270.03","2,842.54","5,112.57","1,085.49","1,283.01","2,368.50"
2019,New Jersey,"2,323.00","2,968.86","5,291.86","1,101.99","1,302.67","2,404.66"
2020,New Jersey,"2,337.71","2,346.15","4,683.86","1,072.22",993.51,"2,065.73"
2021,New Jersey,"2,444.41","3,016.04","5,460.45","1,095.44","1,219.12","2,314.56"
2022,New Jersey,"2,697.21","3,590.96","6,288.17","1,097.63","1,357.99","2,455.62"
2023,New Jersey,"2,705.51","3,942.33","6,647.84","1,050.77","1,395.06","2,445.83"
2024,New Jersey,"2,710.51","4,138.86","6,849.37","1,043.29","1,403.41","2,446.70"
2018,New Mexico,"2,365.28","2,515.80","4,881.08","1,116.53","1,092.95","2,209.48"
2019,New Mexico,"2,441.18","2,623.64","5,064.82","1,135.06","1,100.67","2,235.73"
2020,New Mexico,"2,606.30","2,314.92","4,921.22","1,165.36",928.61,"2,093.97"
2021,New Mexico,"2,796.70","2,982.82","5,779.52","1,198.23","1,140.91","2,339.14"
2022,New Mexico,"3,191.40","3,438.14","6,629.54","1,227.37","1,225.77","2,453.14"
2023,New Mexico,"3,271.53","3,791.26","7,062.79","1,202.53","1,257.94","2,460.47"
2024,New Mexico,"3,359.03","3,959.40","7,318.43","1,217.66","1,255.67","2,473.33"
2018,New York,"2,221.05","3,286.67","5,507.72","1,062.06","1,483.48","2,545.54"
2019,New York,"2,264.58","3,412.33","5,676.91","1,074.27","1,497.26","2,571.53"
2020,New York,"2,222.95","2,480.50","4,703.45","1,019.59","1,050.41","2,070.00"
2021,New York,"2,363.42","3,185.44","5,548.86","1,059.15","1,287.59","2,346.74"
2022,New York,"2,621.27","3,993.01","6,614.28","1,066.73","1,510.03","2,576.76"
2023,New York,"2,677.65","4,565.58","7,243.23","1,039.94","1,615.61","2,655.55"
2024,New York,"2,728.73","4,928.36","7,657.09","1,050.30","1,671.12","2,721.42"
2018,North Carolina,"2,253.66","2,696.10","4,949.76","1,094.41","1,197.95","2,292.36"
2019,North Carolina,"2,315.67","2,809.44","5,125.11","1,116.84","1,211.08","2,327.92"
2020,North Carolina,"2,537.40","2,581.31","5,118.71","1,182.18","1,083.16","2,265.34"
2021,North Carolina,"2,706.64","3,094.23","5,800.87","1,219.15","1,250.05","2,469.20"
2022,North Carolina,"2,905.48","3,595.14","6,500.62","1,175.01","1,347.68","2,522.69"
2023,North Carolina,"2,867.89","3,795.60","6,663.49","1,100.98","1,328.34","2,429.32"
2024,North Carolina,"2,841.19","3,884.78","6,725.97","1,077.33","1,308.70","2,386.03"
2018,North Dakota,"2,564.09","2,527.12","5,091.21","1,304.47","1,095.09","2,399.56"
2019,North Dakota,"2,532.55","2,592.74","5,125.29","1,282.11","1,094.29","2,376.40"
2020,North Dakota,"2,567.32","2,386.91","4,954.23","1,263.24",982.40,"2,245.64"
2021,North Dakota,"2,772.70","2,993.63","5,766.33","1,319.06","1,172.47","2,491.53"
2022,North Dakota,"2,973.69","3,179.57","6,153.26","1,253.52","1,145.27","2,398.79"
2023,North Dakota,"2,947.94","3,248.60","6,196.54","1,181.05","1,095.51","2,276.56"
2024,North Dakota,"2,940.13","3,262.36","6,202.49","1,164.92","1,063.23","2,228.15"
2018,Ohio,"2,457.38","2,655.58","5,112.96","1,250.18","1,150.76","2,400.94"
