Year,State,Food-at-home per capita sales (nominal U.S. dollars),Food-away-from-home per capita sales (nominal U.S. dollars),Total food per capita sales (nominal U.S. dollars),Food-at-home per capita sales (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales (constant U.S. dollars (1988=100)),Total food per capita sales (constant U.S. dollars (1988=100))
2024,West Virginia,"2,469.09","2,884.82","5,353.91",936.23,971.83,"1,908.06"
2018,Wisconsin,"2,350.62","2,325.84","4,676.46","1,195.87","1,007.87","2,203.74"
2019,Wisconsin,"2,379.89","2,405.50","4,785.39","1,204.82","1,015.27","2,220.09"
2020,Wisconsin,"2,504.42","2,129.57","4,633.99","1,232.29",876.48,"2,108.77"
2021,Wisconsin,"2,651.13","2,588.08","5,239.21","1,261.23","1,013.63","2,274.86"
2022,Wisconsin,"2,931.24","2,891.32","5,822.56","1,235.62","1,041.45","2,277.07"
2023,Wisconsin,"2,978.19","3,029.99","6,008.18","1,193.17","1,021.79","2,214.96"
2024,Wisconsin,"3,041.79","3,098.56","6,140.35","1,205.20","1,009.85","2,215.05"
2018,Wyoming,"2,707.58","2,803.56","5,511.14","1,278.11","1,217.96","2,496.07"
2019,Wyoming,"2,753.64","2,933.82","5,687.46","1,280.34","1,230.79","2,511.13"
2020,Wyoming,"2,982.31","2,843.70","5,826.01","1,333.48","1,140.73","2,474.21"
2021,Wyoming,"3,175.06","3,631.80","6,806.86","1,360.34","1,389.14","2,749.48"
2022,Wyoming,"3,596.26","3,903.34","7,499.60","1,383.07","1,391.63","2,774.70"
2023,Wyoming,"3,637.66","4,056.73","7,694.39","1,337.11","1,346.02","2,683.13"
2024,Wyoming,"3,696.16","4,101.87","7,798.03","1,339.87","1,300.85","2,640.72"
